ID,NAME,YEAR_EST,STATUS,PROVINCE,PA_AREA
97,RANGER NORTH CONSERVATION RESERVE,2004,Legal,ON,70.155344
98,Hubert Lake Wildland,2000,Legal,AB,96.656526
99,PRINCE ALBERT NATIONAL PARK,1927,Legal,SK,3954.967686
100,Primrose Lake Wildlife Refuge,1981,Legal,SK,117.513635
101,DANA-JOWSEY LAKES PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),2005,Legal,ON,88.062082
102,WINDERMERE GOLDIE LAKE CONSERVATION RESERVE,2005,Legal,ON,186.92955
103,Hamling Lakes Wildlife Management Area,1998,Legal,BC,307.723031
104,R_serve de biodiversit_ projet_e Paul-Provencher,2005,Interim,QC,112.920658
105,Evan-Thomas,2004,Legal,AB,24.351833
106,NARROW HILLS PROVINCIAL PARK,1934,Legal,SK,588.126862
107,KOPKA RIVER PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,312.185684
108,WAKAMI LAKE PROVINCIAL PARK,1983,Legal,ON,88.612311
109,THE SHOALS PROVINCIAL PARK,1970,Legal,ON,110.147418
110,Trepanier Park,2001,Legal,BC,28.859079
111,Enderby Cliffs Park,2001,Legal,BC,22.784477
112,Lesser Slave Lake,1966,Legal,AB,76.044555
113,PIPESTONE CONSERVATION RESERVE,2006,Legal,ON,108.626096
114,Sikitakan Sipi,2008,Interim,QC,91.457212
115,CANDLE LAKE PROVINCIAL PARK,1976,Legal,SK,83.669107
116,MISSISSAGI PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),2002,Legal,ON,83.354277
117,Momich Lakes Park,1996,Legal,BC,16.049134
118,Champion Lakes Park,1955,Legal,BC,14.531567
119,Bearhole Lake Park,2001,Legal,BC,127.073853
120,West Twin Protected Area,2001,Legal,BC,99.985494
121,LAKE NIPIGON CONSERVATION RESERVE,2003,Legal,ON,1755.882423
122,HICKS-OKE BOG PROVINCIAL NATURE RESERVE,1994,Legal,ON,58.858163
123,Anstey Hunakwa Park,2001,Legal,BC,68.542171
124,Mount Griffin Park,2001,Legal,BC,17.587631
125,BRUCE LAKE CONSERVATION RESERVE,2002,Legal,ON,54.663531
126,TURTLE RIVER-WHITE OTTER LAKE PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,493.292491
127,EAGLE DOGTOOTH PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,410.779533
128,CLARENCE-STEEPBANK LAKES PROVINCIAL PARK,1994,Legal,SK,163.623784
129,Parc national des Monts-Valin,1996,Legal,QC,153.85661
130,GOULAIS RIVER PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,50.823399
131,West Arm Park,1995,Legal,BC,250.909202
132,Lower Raush Protected Area,2001,Legal,BC,12.791481
133,Syringa Park,1968,Legal,BC,44.4721
134,Otter-Orloff Lakes Wildland,2000,Legal,AB,69.822571
135,OBONGA-OTTERTOOTH PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,211.547807
136,WINDIGO BAY PROVINCIAL PARK,1989,Legal,ON,84.37891
137,WABAKIMI PROVINCIAL PARK,1997,Legal,ON,8918.266139
138,Midge Creek Wildlife Management Area,1998,Legal,BC,148.311917
139,Nopiming Provincial Park,1997,Legal,MB,273.332153
140,FRASERDALE WETLAND COMPLEX CONSERVATION RESERVE,2005,Legal,ON,187.772721
141,ALGOMA HEADWATERS PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),2003,Legal,ON,427.293686
142,IVANHOE RIVER CLAY PLAIN CONSERVATION RESERVE,2003,Legal,ON,70.743785
143,Kalamalka Lake Park,1975,Legal,BC,32.18475
144,R_serve de biodiversit_ projet_e du lac des Quinze,2004,Interim,QC,159.564345
145,LITTLE ABITIBI PROVINCIAL PARK,1985,Legal,ON,204.210923
146,STURGEON RIVER PROVINCIAL PARK,2005,Legal,ON,79.835559
147,Duck Mountain Provincial Park,1997,Legal,MB,469.655765
148,Lakeland,1992,Legal,AB,598.066526
149,Manigotagan River Provincial Park,2004,Legal,MB,81.07601
150,WEST ENGLISH RIVER PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,229.742884
151,Pennask Creek Park,2001,Legal,BC,12.475671
152,Myra-Bellevue Park,2001,Legal,BC,78.092617
153,West Twin Park,2000,Legal,BC,223.204586
154,KILLALA LAKE CONSERVATION RESERVE,2005,Legal,ON,131.999826
155,Cariboo River Park,1995,Legal,BC,31.375111
156,Roche Lake Park,1996,Legal,BC,20.261408
157,GULL RIVER PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,71.948148
158,LOLA LAKE PROVINCIAL NATURE RESERVE,1998,Legal,ON,61.674206
159,Stony Mountain Wildland,2000,Legal,AB,139.472164
160,Winagami Wildland,2000,Legal,AB,126.808441
161,WENEBEGON RIVER PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,163.849137
162,Beauvais Lake,1954,Legal,AB,11.564524
163,GREENWATER PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),2005,Legal,ON,85.101567
164,WEST MONTREAL RIVER PROVINCIAL PARK (WATERWAY CLASS),2002,Legal,ON,72.57843
165,Silver Star Park,1940,Legal,BC,55.744154
166,Du Plateau-de-la-Pierriche,2008,Interim,QC,341.308634
167,La Biche River Wildland,2000,Legal,AB,173.305652
168,NIPIGON PALISADES CONSERVATION RESERVE,2003,Legal,ON,115.280272
169,Emar Lakes Park,1996,Legal,BC,16.17541
170,WHITEFISH AND EAST WHITEFISH LAKES SANDY TILL UPLAND CONSERVATION RESERVE,2005,Legal,ON,93.612309
171,Arctic Pacific Lakes Park,2000,Legal,BC,138.950077
172,Two Lakes,2006,Legal,AB,15.666432
173,McCusker Lake Ecological Reserve,1998,Legal,SK,1394.316258
174,Taweel Park,1996,Legal,BC,43.926361
175,IVANHOE LAKE PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),2005,Legal,ON,78.530647
176,LOW/BELL CONSERVATION RESERVE,2004,Legal,ON,55.795707
177,GARDEN PAKASHKAN CONSERVATION RESERVE,2004,Legal,ON,125.7911
178,Observation Point Wildlife Management Area,2009,Legal,MB,60.120479
179,CAMPUS LAKE CONSERVATION RESERVE,2003,Legal,ON,194.523587
180,NAKINA NORTHEAST WATERWAY CONSERVATION RESERVE,2004,Legal,ON,139.202518
181,MCDOUGAL POINT PENINSULA CONSERVATION RESERVE,2005,Legal,ON,60.401039
182,Sugarbowl-Grizzly Den Park,2000,Legal,BC,203.189945
183,NORTHERN CLAYBELT FOREST COMPLEX CONSERVATION RESERVE,2005,Legal,ON,681.717602
184,R_serve de biodiversit_ projet_e du br_lis du lac Fr_gate,2005,Interim,QC,268.143935
185,STEEL RIVER PROVINCIAL PARK,1989,Legal,ON,110.320793
186,Bearhole Lake Protected Area,2001,Legal,BC,50.542119
187,R_serve de biodiversit_ projet_e des collines de Muskuchii,2003,Interim,QC,801.371923
188,Upper Seymour River Park,2001,Legal,BC,106.760875
189,GROUNDHOG RIVER WATERWAY PROVINCIAL PARK (WATERWAY CLASS),2006,Legal,ON,110.43619
190,Upper Adams River Park,1996,Legal,BC,58.852912
191,SANDBAR LAKE PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),2003,Legal,ON,80.572856
192,SLIM JIM LAKE CONSERVATION RESERVE,2003,Legal,ON,64.634407
193,TREWARTHA CREEK CONSERVATION RESERVE,2003,Legal,ON,97.258758
194,R_serve de biodiversit_ projet_e Akumunan,2005,Interim,QC,206.786477
195,R_serve aquatique projet_e de la rivière Ashuapmushuan,2003,Interim,QC,279.514032
196,EAST LARDER RIVER BEDROCK CONIFER CONSERVATION RESERVE,2002,Legal,ON,70.062766
197,R_serve aquatique projet_e de la Haute Harricana,2004,Interim,QC,179.180885
198,BRIGHTSAND RIVER PROVINCIAL PARK,1989,Legal,ON,406.624457
199,WHITESAND PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,113.413805
200,R_serve de biodiversit_ projet_e des Anneaux-Forestiers,2007,Interim,QC,133.940313
201,KWINKWAGA GROUND MORAINE UPLANDS CONSERVATION RESERVE,2000,Legal,ON,126.558064
202,EAST ENGLISH RIVER PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,175.221711
203,R_serve de biodiversit_ projet_e du lac Opasatica,2004,Interim,QC,246.778372
204,BLACK STURGEON RIVER PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,235.409465
205,East Side Columbia Lake Wildlife Management Area,1997,Legal,BC,71.70082
206,R_serve de biodiversit_ projet_e du lac Taibi,2004,Interim,QC,268.972119
207,Sugarbowl-Grizzly Den Protected Area,2001,Legal,BC,22.285508
208,ESKER LAKES PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),2005,Legal,ON,65.198899
209,Des-Buttes-et-Button-du-Lac-Panache,2008,Interim,QC,123.441958
210,UPPER ENGLISH RIVER CONSERVATION RESERVE,2003,Legal,ON,122.955702
211,NAGAGAMISIS PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),2005,Legal,ON,407.293753
212,R_serve aquatique projet_e du lac au Foin,2005,Interim,QC,172.421803
213,R_serve de biodiversit_ projet_e du lac Saint-Cyr,2005,Interim,QC,143.169618
214,R_serve de biodiversit_ projet_e des marais du lac Parent,2004,Interim,QC,402.844818
215,R_serve de biodiversit_ projet_e d'Esker-Mistaouac,2007,Interim,QC,456.426407
216,R_serve de biodiversit_ projet_e du Plateau-du-Lac-des-Huit-Chutes,2007,Interim,QC,102.730406
217,R_serve de biodiversit_ projet_e du lac Wetetnagami,2005,Interim,QC,234.28476
218,PINARD MORAINE CONSERVATION RESERVE,2005,Legal,ON,182.173805
